bank_name,card_name,annual_fee,renewal_fee,is_lifetime_free,best_use_case,other_cashback,lounge_access,fuel_benefits,travel_benefits,income_requirement,joining_offer,fee_waiver_condition,official_website,notes
Standard Chartered,SCB DigiSmart Credit Card,49,49,No,online shopping,Up to 20% on Zomato/Swiggy/BigBasket,No,1% waiver,No,"?10,000/month",Partner offers,Monthly fee waived on spends > ?5000,https://www.sc.com/in/credit-cards/digismart/,Best for digital/online users
Standard Chartered,SCB Ultimate Credit Card,5000,5000,No,luxury lifestyle,3% rewards,Yes,1% waiver,Domestic & International,"?1,00,000/month",Luxury vouchers,"Spend ?10,00,000/year",https://www.sc.com/in/credit-cards/ultimate-credit-card/,Premium card with high rewards
Standard Chartered,SCB Manhattan Platinum Card,999,999,No,groceries,5% cashback on supermarket spends,No,1% waiver,No,"?25,000/month",Welcome gifts,"Spend ?1,20,000/year",https://www.sc.com/in/credit-cards/manhattan/,Great for grocery shoppers
Standard Chartered,SCB Emirates World Credit Card,3000,3000,No,air travel,Skywards miles,Yes,1% waiver,International lounge,"?70,000/month",Skywards miles,Spend-based waiver,https://www.sc.com/in/credit-cards/emirates-world/,For Emirates Airlines travelers
YES Bank,YES Prosperity Rewards Plus,350,350,No,shopping,2% rewards on groceries & dining,No,1% surcharge waiver,No,"?20,000/month",Welcome reward points,"Spend ?25,000/quarter",https://www.yesbank.in,Good for daily shopping
YES Bank,YES Prosperity Edge,800,800,No,shopping/travel,3% rewards on travel/dining,Yes,1% surcharge waiver,Domestic lounge,"?30,000/month",Welcome points,"Spend ?50,000/quarter",https://www.yesbank.in,Better than Prosperity Rewards
YES Bank,YES First Preferred,2500,2500,No,premium lifestyle,4% rewards,Yes,1% fuel waiver,Domestic lounge,"?60,000/month",Welcome gifts,"Spend ?2,50,000/year",https://www.yesbank.in,Good mid-premium card
YES Bank,YES First Exclusive,9999,9999,No,luxury premium,5% rewards,Yes,1% fuel waiver,International lounge,"?1,00,000/month",Premium welcome kit,High spend waiver,https://www.yesbank.in,Super-premium YES Bank card
YES Bank,YES Premia Credit Card,2000,2000,No,travel,3% travel rewards,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome gift,"Spend ?3,00,000/year",https://www.yesbank.in,Good for travel & rewards
YES Bank,YES Prosperity Cashback Plus,1499,1499,No,cashback,5% online cashback,No,1% waiver,No,"?25,000/month",Cashback rewards,"Spend ?3,00,000/year",https://www.yesbank.in,Best cashback card from YES Bank
YES Bank,YES Prosperity Rewards,299,299,No,everyday spends,1% cashback,No,1% waiver,No,"?15,000/month",Welcome points,"Spend ?10,000/3 months",https://www.yesbank.in,Entry-level YES card
YES Bank,YES Bank Wellness Credit Card,999,999,No,health & fitness,Health reward points,No,1% waiver,No,"?25,000/month",Health checkup vouchers,"Spend ?1,00,000/year",https://www.yesbank.in,Health & wellness focused
IndusInd,IndusInd Platinum Aura Edge,500,500,No,shopping,2% rewards on online spends,No,1% fuel surcharge waiver,No,"?20,000/month",Welcome rewards,"Spend ?50,000/year",https://www.indusind.com,Beginner-friendly lifestyle card
IndusInd,IndusInd Platinum Credit Card,0,0,Yes,everyday usage,1% cashback,No,1% fuel surcharge waiver,No,"?15,000/month",-,Lifetime Free,https://www.indusind.com,Good LTF starter card
IndusInd,IndusInd Celesta Credit Card,50000,50000,No,ultra-premium lifestyle,Premium rewards,Unlimited,1% fuel waiver,International lounge,High-income customers,Luxury gift box,Invitation / high spend,https://www.indusind.com,Ultra-premium elite card
IndusInd,IndusInd Pinnacle Credit Card,12000,12000,No,premium travel,2.5% travel cashback,Yes,1% waiver,Domestic & International,"?1,00,000/month",Premium welcome offers,"Spend ?10,00,000/year",https://www.indusind.com,Top-tier travel card
IndusInd,IndusInd Legend Credit Card,3000,3000,No,shopping & movies,2% cashback,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome vouchers,"Spend ?3,00,000/year",https://www.indusind.com,Premium lifestyle card
IndusInd,IndusInd EazyDiner Credit Card,1999,1999,No,dining,25% off dining,No,1% waiver,No,"?20,000/month",EazyDiner benefits,"Spend ?1,50,000/year",https://www.indusind.com,Best for restaurants & foodies
IndusInd,IndusInd Duo Plus Credit Card,1499,1499,No,shopping & cashback,2% cashback,No,1% waiver,No,"?25,000/month",Shopping vouchers,"Spend ?1,00,000/year",https://www.indusind.com,Simple cashback card
IndusInd,IndusInd Payback Credit Card,500,500,No,payback rewards,PAYBACK points,No,1% waiver,No,"?20,000/month",Welcome points,"Spend ?50,000/year",https://www.indusind.com,Good for Payback ecosystem
IndusInd,IndusInd Nexxt Credit Card,2500,2500,No,shopping EMI,1.5% cashback,No,1% waiver,No,"?40,000/month",Welcome gifts,"Spend ?2,00,000/year",https://www.indusind.com,EMI-based card with rewards
IndusInd,IndusInd Aura Edge Special,1000,1000,No,lifestyle,2% rewards,No,1% waiver,No,"?25,000/month",Gift vouchers,"Spend ?75,000/year",https://www.indusind.com,Enhanced Aura variant
RBL,RBL Zomato Edition Classic,0,0,Yes,food delivery,2% Zomato cashback,No,1% fuel surcharge waiver,No,"?15,000/month",Zomato credits,Lifetime Free,https://www.rblbank.com,Beginner-friendly Zomato card
RBL,RBL Zomato Edition Black,2000,2000,No,food delivery,10% Zomato cashback,Yes,1% waiver,No,"?35,000/month",Zomato Pro & dining offers,"Spend ?2,50,000/year",https://www.rblbank.com,Premium Zomato card
RBL,RBL Bajaj Finserv Co-branded,999,999,No,shopping/EMI,Cashback on EMI purchases,No,1% waiver,No,"?20,000/month",EMI vouchers,"Spend ?1,00,000/year",https://www.rblbank.com,Best for EMI & Bajaj users
RBL,RBL Shoprite Credit Card,500,500,No,groceries,5% grocery cashback,No,1% waiver,No,"?15,000/month",Shopping vouchers,"Spend ?50,000/year",https://www.rblbank.com,Great for grocery shopping
RBL,RBL Platinum Maxima,2000,2000,No,lifestyle,2.5% rewards,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome points,"Spend ?2,00,000/year",https://www.rblbank.com,Good mid-range lifestyle card
RBL,RBL Titanium Delight,750,750,No,movies & dining,10% off movies and dining,No,1% waiver,No,"?20,000/month",Movie vouchers,"Spend ?1,00,000/year",https://www.rblbank.com,Best for movie lovers
RBL,RBL Movies & More Card,500,500,No,entertainment,Buy 1 Get 1 movies,No,1% waiver,No,"?20,000/month",Movie coupons,"Spend ?75,000/year",https://www.rblbank.com,Dedicated entertainment card
RBL,RBL Insignia Preferred,3000,3000,No,premium lifestyle,3% rewards,Yes,1% waiver,Domestic lounge,"?75,000/month",Premium welcome kit,"Spend ?4,00,000/year",https://www.rblbank.com,Premium RBL lifestyle card
RBL,RBL Bank Icon Credit Card,5000,5000,No,luxury lifestyle,Premium rewards,Yes,1% waiver,International lounge,High-income,Luxury welcome gifts,"Spend ?7,00,000/year",https://www.rblbank.com,RBL high-end elite card
RBL,RBL Bank Popcorn Card,500,500,No,movies,Movie cashback,No,1% waiver,No,"?15,000/month",Movie combos,"Spend ?50,000/year",https://www.rblbank.com,Fun entertainment card
Bank of Baroda,BOB Easy Credit Card,500,500,No,shopping,1% cashback on all online spends,No,1% fuel surcharge waiver,No,"?15,000/month",Welcome reward points,"Spend ?50,000/year",https://www.bobfinancial.com/easy-credit-card.jsp,Best beginner BOB card
Bank of Baroda,BOB Premier Credit Card,1000,1000,No,lifestyle,2% rewards,Yes,1% surcharge waiver,Domestic lounge,"?30,000/month",Welcome vouchers,"Spend ?2,00,000/year",https://www.bobfinancial.com/premier-credit-card.jsp,Good premium rewards card
Bank of Baroda,BOB Select Credit Card,750,750,No,shopping & dining,2% rewards on dining & online,No,1% waiver,No,"?25,000/month",Welcome points,"Spend ?1,00,000/year",https://www.bobfinancial.com/select-credit-card.jsp,Mid-range shopping card
Bank of Baroda,IRCTC BoB RuPay Credit Card,500,350,No,rail travel,Up to 4% IRCTC cashback,No,1% waiver,Railway lounge,"?15,000/month",Rail vouchers,"Spend ?50,000/year",https://www.bobfinancial.com/irctc-credit-card.jsp,Good for IRCTC users
Bank of Baroda,BOB Varunah Credit Card,0,0,Yes,govt & PSUs,Reward points,No,1% waiver,No,Government employees,Welcome reward points,Lifetime free,https://www.bobfinancial.com/varunah-credit-card.jsp,LTF card for defence/government
Bank of Baroda,BOB Eterna Credit Card,2500,2500,No,premium lifestyle,3% cashback on travel/dining,Yes,1% waiver,Domestic + International lounge,"?75,000/month",Premium welcome gifts,"Spend ?6,00,000/year",https://www.bobfinancial.com/eterna-credit-card.jsp,BOB premium flagship card
Bank of Baroda,BOB Premier RuPay Credit Card,1000,1000,No,rewards,2% reward points,Yes,1% waiver,Domestic lounge,"?30,000/month",Welcome vouchers,"Spend ?2,00,000/year",https://www.bobfinancial.com/premier-credit-card.jsp,RuPay version of Premier
Bank of Baroda,BOB Assure Credit Card (Secured),0,0,Yes,secured beginners,1% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://www.bobfinancial.com/assure-credit-card.jsp,Best secured BOB card
Bank of Baroda,BOB CMA One Credit Card,0,0,Yes,corporate users,Rewards on business spends,Yes,1% waiver,Airport lounge,Company salary required,Corporate welcome kit,LTF for corporate accounts,https://www.bobfinancial.com/cma-one-credit-card.jsp,Corporate-focused BOB card
Bank of Baroda,BOB Conquer Credit Card,1000,1000,No,travel,Travel rewards,Yes,1% waiver,Domestic lounge,"?40,000/month",Welcome offers,"Spend ?1,50,000/year",https://www.bobfinancial.com,Travel-oriented BOB card
Union Bank,Union Bank SimplySAVE Credit Card,499,499,No,shopping,2% cashback on groceries & dining,No,1% fuel surcharge waiver,No,"?15,000/month",Welcome reward points,"Spend ?50,000/year",https://www.unionbankofindia.co.in,Basic rewards card for beginners
Union Bank,Union Bank Signature Credit Card,1250,1250,No,premium lifestyle,2% rewards on travel/dining,Yes,1% fuel waiver,Domestic lounge,"?40,000/month",Welcome vouchers,"Spend ?1,50,000/year",https://www.unionbankofindia.co.in,Good mid-range lifestyle card
Union Bank,Union Bank Rupay Select Credit Card,500,500,No,shopping,1% cashback,Yes (RuPay lounges),1% waiver,Limited travel benefits,"?20,000/month",RuPay offers,"Spend ?50,000/year",https://www.unionbankofindia.co.in,RuPay variant with lounge access
Union Bank,Union Bank Rupay Platinum Credit Card,250,250,No,entry-level,1% rewards,No,1% waiver,No,"?10,000/month",Reward points,"Spend ?25,000/year",https://www.unionbankofindia.co.in,Simple starter card
Union Bank,Union Bank Corporate Credit Card,0,0,Yes,corporate use,Reward points on business spends,Yes,1% waiver,Airport lounge,Salary account in Union Bank,Corporate welcome kit,Lifetime Free,https://www.unionbankofindia.co.in,For corporate employees
Union Bank,Union Bank Empower Credit Card (Secured),0,0,Yes,secured beginners,1% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://www.unionbankofindia.co.in,Best secured UBI card
AU Small Finance Bank,AU LIT Credit Card,0,0,Yes,customizable cashback,Custom 1%–10% category cashback,No,1% surcharge waiver,No,"?15,000/month",Cashback on activation,Lifetime Free,https://www.aubank.in,Most unique customizable cashback card
AU Small Finance Bank,AU Zenith Credit Card,7999,7999,No,luxury travel,2%–3% rewards,Yes (Domestic & International),1% waiver,Unlimited lounge,"?1,00,000/month",Premium welcome kit,"Spend ?7,50,000/year",https://www.aubank.in,AU’s super-premium card
AU Small Finance Bank,AU Vetta Credit Card,2999,2999,No,premium lifestyle,2% cashback on online spends,Yes,1% waiver,Domestic lounge,"?50,000/month",Welcome vouchers,"Spend ?3,00,000/year",https://www.aubank.in,Good premium lifestyle card
AU Small Finance Bank,AU Altura Plus Credit Card,499,499,No,shopping,2% online cashback,No,1% fuel surcharge waiver,No,"?20,000/month",Cashback offers,"Spend ?1,00,000/year",https://www.aubank.in,AU’s best budget cashback card
AU Small Finance Bank,AU Altura Credit Card,199,199,No,entry-level,1% rewards,No,1% waiver,No,"?10,000/month",Welcome points,"Spend ?30,000/year",https://www.aubank.in,Great low-fee starter card
AU Small Finance Bank,AU TouchPOINT Credit Card,0,0,Yes,basic everyday,Reward points,No,1% waiver,No,"?10,000/month",Bonus points,Lifetime Free,https://www.aubank.in,Basic LTF credit card
Punjab National Bank,PNB Rupay Platinum Credit Card,500,500,No,shopping,1% rewards,Yes,1% fuel surcharge waiver,RuPay domestic lounge,"?15,000/month",Reward points,"Spend ?50,000/year",https://www.pnbindia.in,Good entry-level card
Punjab National Bank,PNB Rupay Select Credit Card,750,750,No,shopping & travel,2% rewards,Yes,1% waiver,Domestic lounge,"?20,000/month",Welcome points,"Spend ?75,000/year",https://www.pnbindia.in,Better lounge access via RuPay
Punjab National Bank,PNB Global Classic Credit Card,500,500,No,beginners,1% rewards,No,1% waiver,No,"?12,000/month",Reward points,"Spend ?40,000/year",https://www.pnbindia.in,PNB’s basic starter credit card
Punjab National Bank,PNB Global Gold Credit Card,750,750,No,shopping,2% rewards,No,1% waiver,No,"?20,000/month",Gold rewards,"Spend ?90,000/year",https://www.pnbindia.in,Higher rewards than Classic
Punjab National Bank,PNB Global Platinum Credit Card,1000,1000,No,lifestyle,2%–3% rewards,Domestic lounge,1% waiver,Domestic lounge,"?30,000/month",Welcome vouchers,"Spend ?1,50,000/year",https://www.pnbindia.in,Good mid-range lifestyle card
Punjab National Bank,PNB Wave Credit Card (Contactless),499,499,No,shopping,1.5% cashback,No,1% waiver,No,"?15,000/month",Cashback offers,"Spend ?50,000/year",https://www.pnbindia.in,PNB contactless shopping card
Punjab National Bank,PNB Suvidha Credit Card (Secured),0,0,Yes,secured beginners,1% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://www.pnbindia.in,Best secured PNB card
South Indian Bank,SIB One Credit Card,750,750,No,shopping,2% cashback on online spends,No,1% fuel surcharge waiver,No,"?20,000/month",Welcome reward points,"Spend ?75,000/year",https://www.southindianbank.com,Good for online and utility payments
South Indian Bank,SIB Prime Credit Card,2500,2500,No,premium lifestyle,3% rewards on dining & travel,Yes,1% fuel waiver,Domestic lounge,"?50,000/month",Welcome vouchers,"Spend ?2,00,000/year",https://www.southindianbank.com,Premium lifestyle & travel card
South Indian Bank,SIB Gold Credit Card,500,500,No,entry-level,1% cashback,No,1% waiver,No,"?15,000/month",Reward points,"Spend ?50,000/year",https://www.southindianbank.com,Basic starter credit card
South Indian Bank,SIB Contactless Credit Card,250,250,No,everyday usage,1% reward points,No,1% waiver,No,"?12,000/month",-,"Spend ?30,000/year",https://www.southindianbank.com,"Contactless, low-fee beginner card"
South Indian Bank,SIB Secured Credit Card,0,0,Yes,secured beginners,1% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://www.southindianbank.com,Best secured card to build credit
Federal Bank,Federal Bank Signet Credit Card,499,499,No,shopping,3% online rewards,No,1% fuel surcharge waiver,No,"?20,000/month",Welcome rewards,"Spend ?50,000/year",https://www.federalbank.co.in,Most popular Federal Bank card
Federal Bank,Federal Bank Imperio Credit Card,1000,1000,No,lifestyle,2% rewards,Yes,1% fuel waiver,Domestic lounge,"?35,000/month",Welcome vouchers,"Spend ?1,50,000/year",https://www.federalbank.co.in,Good mid-range lifestyle card
Federal Bank,Federal Bank Celesta Credit Card,3500,3500,No,premium travel,3% rewards,Yes (Domestic & International),1% waiver,Airport lounge,"?75,000/month",Premium welcome kit,"Spend ?4,00,000/year",https://www.federalbank.co.in,Premium travel & lifestyle card
Federal Bank,Fi Money Credit Card (Co-branded),0,0,Yes,online shopping,2%–5% online cashback,No,1% waiver,No,"?15,000/month",Fi cashback,Lifetime Free,https://fi.money,Top LTF card for young users
Federal Bank,Scapia Federal Credit Card,0,0,Yes,travel,10% reward coins on travel,Yes,1% waiver,Domestic lounge,"?20,000/month",Travel coins,Lifetime Free,https://scapia.cards,Hot new LTF travel card
Federal Bank,Federal Bank Secured Credit Card,0,0,Yes,secured beginners,1% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://www.federalbank.co.in,Credit-builder secured card
Canara Bank,Canara Credit Card Visa Classic,0,0,Yes,entry-level,1% rewards,No,1% fuel surcharge waiver,No,"?10,000/month",Reward points,Lifetime Free,https://canarabank.com,Basic LTF credit card
Canara Bank,Canara Credit Card RuPay Select,250,250,No,shopping,1.5% rewards,Yes,1% fuel waiver,RuPay domestic lounge,"?15,000/month",Intro reward points,"Spend ?30,000/year",https://canarabank.com,RuPay lounge access card
Canara Bank,Canara Credit Card RuPay Platinum,500,500,No,shopping,1% cashback,No,1% waiver,No,"?20,000/month",Reward points,"Spend ?40,000/year",https://canarabank.com,Good for shopping and online spends
Canara Bank,Canara Corporate Credit Card,0,0,Yes,corporate usage,Business reward points,Yes,1% waiver,Lounge access,Salary account/company approval,Corporate welcome kit,Lifetime Free,https://canarabank.com,Corporate employees card
Canara Bank,Canara Secured Credit Card,0,0,Yes,secured beginners,1% cashback,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://canarabank.com,Best for credit building
Indian Bank,Indian Bank Global Classic Credit Card,250,250,No,shopping,1% rewards,No,1% fuel surcharge waiver,No,"?12,000/month",Reward points,"Spend ?25,000/year",https://indianbank.in,Good basic shopping card
Indian Bank,Indian Bank Global Gold Credit Card,500,500,No,lifestyle,1.5% rewards,No,1% fuel waiver,No,"?20,000/month",Welcome points,"Spend ?50,000/year",https://indianbank.in,Higher rewards than Classic
Indian Bank,Indian Bank Global Platinum Credit Card,1000,1000,No,premium lifestyle,2% rewards,Yes,1% waiver,Domestic lounge,"?35,000/month",Welcome vouchers,"Spend ?1,00,000/year",https://indianbank.in,Premium lifestyle card
Indian Bank,Indian Bank RuPay Select Credit Card,500,500,No,travel & shopping,1.5% rewards,Yes,1% waiver,RuPay domestic lounge,"?20,000/month",RuPay benefits,"Spend ?75,000/year",https://indianbank.in,Good lounge access via RuPay
Indian Bank,Indian Bank Corp Credit Card,0,0,Yes,corporate use,Reward points,Yes,1% waiver,Corporate lounge,Salary requirement,Corporate welcome kit,Lifetime Free,https://indianbank.in,For corporate employees
Indian Bank,Indian Bank Secured Credit Card,0,0,Yes,secured beginners,1% rewards,No,1% waiver,No,Fixed deposit required,-,Lifetime Free,https://indianbank.in,Best for credit building
American Express,AMEX Membership Rewards Credit Card,1000,450,No,rewards,1%–5% reward points,No,1% surcharge waiver,No,"?35,000/month",Welcome rewards,"Fee waiver on 4,500 reward point redemption",https://www.americanexpress.com,Most popular AMEX card in India
American Express,AMEX Gold Charge Card,4500,4500,No,premium lifestyle,Reward points on all spends,No,1% waiver,No,"?50,000/month",Reward points,No preset credit limit,https://www.americanexpress.com,Famous charge card by AMEX
American Express,AMEX Platinum Travel Credit Card,3500,5000,No,travel,5X rewards on travel,Yes (limited),1% waiver,Domestic lounge,"?40,000/month",Travel vouchers,"Spend ?1,90,000/year",https://www.americanexpress.com,Great AMEX travel card
American Express,AMEX SmartEarn Credit Card,495,495,No,online shopping,5% on Amazon/Swiggy/Zomato,No,1% waiver,No,"?20,000/month",Amazon voucher,"Spend ?40,000/year",https://www.americanexpress.com,Best AMEX beginner shopping card
American Express,AMEX Platinum Card (Metal),60000,60000,No,ultra-premium lifestyle,Premium rewards,Unlimited,1% waiver,Unlimited Intl & Domestic lounge,"?3,00,000/month",Luxury welcome package,Invite-only / very high income,https://www.americanexpress.com,Top-tier metal card from AMEX
American Express,AMEX Platinum Reserve Credit Card,5000,5000,No,premium lifestyle,2% rewards,Yes,1% waiver,Lounge access,"?80,000/month",Premium vouchers,Spend-based waiver,https://www.americanexpress.com,Premium lifestyle & travel card
